Kode Limbah,Bentuk,Karakter Limbah,Sumber,Bahaya,Kemasan
B321-4,Padat,T,Spesifik Umum,2,Drum Logam
B107d,Padat,T,Tidak Spesifik,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Box Besi
A338-1,Cair,T,Spesifik Umum,1,Drum Logam
A107d,Cair,T,Tidak Spesifik,1,Tanpa Kemasan
A110c,Cair,T,Tidak Spesifik,1,Tanpa Kemasan
B104d,Padat,T,Tidak Spesifik,2,Wheel Bin
B109d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A341-2,Padat,T,Spesifik Umum,1,Drum Logam
A108d,Padat,T,Tidak Spesifik,1,Drum Logam
A341-2,Padat,T,Spesifik Umum,1,Drum Plastik
B107d,Padat,T,Tidak Spesifik,2,Drum Logam
B104d,Padat,T,Tidak Spesifik,2,Drum Plastik
B107d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B330-4,Padat,T,Spesifik Umum,2,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Kemasan Karton atau plastik
A108d,Padat,T,Tidak Spesifik,1,Kemasan Karton atau plastik
B107d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
B104d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
A318-4,Padat,T,Spesifik Umum,1,R.O Container
A318-4,Padat,T,Spesifik Umum,1,Drum Logam
B105d,Cair,I,Tidak Spesifik,2,Drum Logam
A108d,Padat,T,Tidak Spesifik,1,Drum Plastik
B107d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
A102d,Padat,C,Tidak Spesifik,1,Kemasan Karton atau plastik
A337-1,Cair,X,Spesifik Umum,1,Kemasan Karton atau plastik
B104d,Padat,T,Tidak Spesifik,2,Jumbo Bag
B105d,Cair,I,Tidak Spesifik,2,Kemasan Karton atau plastik
A109d,Cair,I,Tidak Spesifik,1,Tanpa Kemasan
A108d,Padat,T,Tidak Spesifik,1,Kemasan Karton atau plastik
A338-3,Cair,T,Spesifik Umum,1,Kemasan Karton atau plastik
A325-2,Cair,T,Spesifik Umum,1,Tangki
B323-2,Cair,T,Spesifik Umum,2,Tangki
B355-1,Cair,T,Spesifik Umum,2,Tanpa Kemasan
A109d,Cair,C,Tidak Spesifik,1,Drum Plastik
A108d,Padat,T,Tidak Spesifik,1,Drum Logam
B110d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B107d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
B330-4,Padat,T,Spesifik Umum,2,Tanpa Kemasan
B105d,Cair,I,Tidak Spesifik,2,Tanpa Kemasan
B106d,Padat,T,Tidak Spesifik,2,Tanpa Kemasan
A338-1,Cair,I,Spesifik Umum,1,Tanpa Kemasan
B110d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
A107d,Cair,T,Tidak Spesifik,1,Drum Logam
B110d,Padat,T,Tidak Spesifik,2,Drum Logam
B107d,Padat,T,Tidak Spesifik,2,Drum Logam
A341-2,Padat,T,Spesifik Umum,1,Tangki
A108d,Padat,T,Tidak Spesifik,1,Kemasan Karton atau plastik
B107d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
B104d,Padat,T,Tidak Spesifik,2,Kemasan Karton atau plastik
A323-2,Padat,T,Spesifik Umum,1,Drum Plastik
A323-2,Padat,T,Spesifik Umum,1,Drum Logam
